lat,lon,name
49.24428,-123.04611,29th Avenue Station
49.26283,-123.1145299,Broadway?“City Hall Station
49.2769944,-122.8574833,Burrard Station
49.262623,-123.0692365,Commercial?“Broadway Station
49.2827291,-123.1207375,Granville Station
49.2383732,-123.0317578,Joyce?“Collingwood Station
49.230419,-122.8596891,King Edward Station
49.2263277,-123.1160772,Langara??9th Avenue Station
49.273376,-123.103834,Main Street?“Science WorldMarine Drive Station
49.1658836,-123.9400648,Nanaimo Station
49.2331553,-123.1166421,Oakridge??1st Avenue Station
49.26654,-123.11562,Olympic Village Station
45.4749199,-76.6877186,Renfrew Station
49.2730065,-123.0308263,Rupert Station
49.2796165,-123.1097761,Stadium?“Chinatown Station
49.2824692,-123.1186127,Vancouver City Centre Station
49.2658769,-123.078987,VCC?“Clark Station
49.1980891,-122.9192869,Waterfront Station
49.2745941,-123.1218731,Yaletown?“Roundhouse Station
